Table C.4. Mortality Rates Used in our Forecasts for the 1975-80 Cohort.,,,,,,,,,,,,,,
,Non-Hispanic Black,,,,,Hispanic,,,,,Non-Hispanic White,,,
Age,Edu1,Edu2,Edu3,Edu4,,Edu1,Edu2,Edu3,Edu4,,Edu1,Edu2,Edu3,Edu4
21,0.00574,0.00291,0.00165,0.00072,,0.00194,0.0011,0.00081,0.00032,,0.00509,0.00218,0.00128,0.00045
22,0.00563,0.00286,0.00162,0.0007,,0.00191,0.00108,0.00079,0.00031,,0.00499,0.00214,0.00126,0.00044
23,0.00588,0.00299,0.00169,0.00074,,0.00199,0.00113,0.00082,0.00032,,0.00521,0.00223,0.00131,0.00046
24,0.00581,0.00295,0.00167,0.00073,,0.00197,0.00111,0.00082,0.00032,,0.00515,0.0022,0.0013,0.00046
25,0.00563,0.00286,0.00162,0.0007,,0.00191,0.00108,0.00079,0.00031,,0.00499,0.00214,0.00126,0.00044
26,0.00503,0.00256,0.00145,0.00063,,0.00171,0.00097,0.00071,0.00028,,0.00446,0.00191,0.00113,0.00039
27,0.00472,0.0024,0.00136,0.00059,,0.0016,0.0009,0.00066,0.00026,,0.00418,0.00179,0.00105,0.00037
28,0.00451,0.00229,0.0013,0.00056,,0.00153,0.00086,0.00063,0.00025,,0.00399,0.00171,0.00101,0.00035
29,0.00461,0.00234,0.00133,0.00058,,0.00156,0.00088,0.00065,0.00025,,0.00409,0.00175,0.00103,0.00036
30,0.00475,0.00241,0.00137,0.00059,,0.00161,0.00091,0.00067,0.00026,,0.00421,0.0018,0.00106,0.00037
31,0.005,0.00254,0.00144,0.00063,,0.00169,0.00096,0.0007,0.00027,,0.00443,0.0019,0.00112,0.00039
32,0.00493,0.0025,0.00142,0.00062,,0.00167,0.00095,0.00069,0.00027,,0.00437,0.00187,0.0011,0.00039
33,0.00517,0.00263,0.00149,0.00065,,0.00175,0.00099,0.00073,0.00028,,0.00459,0.00196,0.00116,0.00041
34,0.00549,0.00279,0.00158,0.00069,,0.00186,0.00105,0.00077,0.0003,,0.00487,0.00208,0.00123,0.00043
35,0.00395,0.00273,0.00175,0.00092,,0.00123,0.00107,0.00082,0.00041,,0.00413,0.00221,0.00139,0.00061
36,0.00426,0.00294,0.00188,0.00099,,0.00133,0.00116,0.00089,0.00044,,0.00445,0.00238,0.0015,0.00066
37,0.00459,0.00317,0.00203,0.00107,,0.00143,0.00125,0.00096,0.00048,,0.0048,0.00257,0.00162,0.00071
38,0.00495,0.00342,0.00219,0.00115,,0.00155,0.00135,0.00103,0.00052,,0.00518,0.00277,0.00175,0.00076
39,0.00537,0.00371,0.00237,0.00125,,0.00168,0.00146,0.00112,0.00056,,0.00561,0.003,0.00189,0.00083
40,0.00578,0.00399,0.00256,0.00134,,0.0018,0.00157,0.0012,0.0006,,0.00605,0.00323,0.00204,0.00089
41,0.00619,0.00428,0.00274,0.00144,,0.00193,0.00169,0.00129,0.00065,,0.00648,0.00346,0.00218,0.00095
